Activity_Period,RegionName,Passenger_Count
201207,Australia / Oceania,34802
201607,Australia / Oceania,56801
201410,Asia,335915
201602,US,2746123
200909,Central America,7346
201211,Central America,10087
201105,Central America,9459
201206,Europe,265072
200604,Central America,8936
201612,Europe,231403
201505,Asia,388857
201603,Middle East,37369
201403,Europe,184265
201705,Australia / Oceania,42677
201308,South America,5877
200811,Central America,7663
201503,Asia,365079
201311,Asia,317107
201204,Central America,9463
201603,Mexico,94210
201302,Asia,286422
200903,Europe,160314
200510,Mexico,46891
201409,Mexico,51736
201401,South America,5419
201305,US,3051600
201605,Canada,150454
201310,US,3072951
201409,Middle East,19380
201703,Europe,241263
201710,Asia,435407
201108,Mexico,50681
200904,Canada,83636
201803,Central America,32376
201208,Australia / Oceania,32213
201512,Middle East,41695
201501,Middle East,41482
200902,Canada,73692
201907,Asia,528414
201512,Mexico,100545
200703,US,2085306
201501,Mexico,82017
201006,Europe,219811
201108,Middle East,18211
201809,Australia / Oceania,60651
201707,Europe,416618
201706,Canada,173444
200702,Australia / Oceania,36807
200906,Central America,10193
200808,Central America,8899
201902,Central America,28197
200601,Canada,75462
201201,Asia,342698
200812,Australia / Oceania,45283
201701,US,2888610
201507,Europe,361251
200603,Canada,91205
201508,Canada,187868
201801,Canada,104932
201005,Asia,354973
200611,Canada,83206
200706,Mexico,54010
200901,Middle East,5863
201210,US,3035032
201104,Australia / Oceania,40460
200901,Mexico,51396
201708,US,4135082
200508,Mexico,50628
200512,Australia / Oceania,34111
201806,US,4039838
201610,Australia / Oceania,51237
201502,Europe,159371
201908,Europe,478679
200511,Australia / Oceania,25520
201709,Asia,419210
