Activity_Period,RegionName,Passenger_Count
201407,Australia / Oceania,34216
201009,Asia,332990
201208,South America,5126
200710,Canada,104307
200711,Asia,341278
200702,Mexico,46289
200812,Middle East,2913
201308,Europe,302425
200812,Mexico,58392
200912,Asia,320417
201305,Central America,10351
200707,Asia,385492
201403,South America,5464
201111,Asia,304283
201310,Central America,8694
200705,Asia,356844
200604,US,2060067
201108,Australia / Oceania,27678
201809,Middle East,38921
201208,Mexico,74396
201208,Middle East,19786
201512,Australia / Oceania,42494
200811,US,2128392
201401,Europe,166310
200607,Europe,214899
201501,Australia / Oceania,39539
200509,Canada,98582
201204,US,2800588
201809,Mexico,66741
200805,Central America,5162
201610,Middle East,42214
200512,Mexico,62886
201610,Mexico,83677
201602,Central America,16978
200909,US,2470252
201209,Europe,261029
200511,Mexico,56708
200803,Canada,103860
201211,US,2789471
201105,US,2733013
201206,South America,5675
201004,Asia,319480
201104,Middle East,17011
200706,Australia / Oceania,44704
201905,Canada,163609
201104,Mexico,47251
200901,Australia / Oceania,46956
200908,Europe,228806
201712,Asia,450841
200508,Australia / Oceania,26930
201207,Mexico,83273
201906,Asia,531929
201607,Mexico,134122
201806,Central America,35008
201207,Middle East,20248
201607,Middle East,48773
201601,Canada,92099
200905,Middle East,12118
201307,Canada,144979
200609,Asia,307055
200801,Asia,375172
200806,Australia / Oceania,39777
201210,Central America,8963
201901,Mexico,111092
201202,Asia,286158
201901,Middle East,37112
200905,Mexico,35581
201708,Central America,29372
200510,Australia / Oceania,24326
201409,Australia / Oceania,30671
200906,US,2653787
200808,US,2738028
201902,US,2763185
201812,Europe,273114
200602,Europe,125071
201701,Central America,26227
201909,Canada,186610
201511,Canada,91815
201407,Europe,306423
201803,US,3579413
201705,Mexico,109434
201904,Canada,134024
201705,Middle East,38876
200703,Central America,9346
201406,Asia,378822
201402,Canada,84713
201603,Australia / Oceania,44321
200807,Canada,133924
201303,South America,7081
200901,Central America,10206
201604,Europe,256669
200905,US,2486507
200508,Central America,12485
201106,Asia,357074
201404,Asia,338007
200701,Canada,89683
200706,Central America,12587
201901,US,3008022
201309,Asia,317920
201602,Australia / Oceania,41301
201509,Canada,154271
201107,Canada,145955
200805,Australia / Oceania,36119
200709,Europe,210825
201012,South America,6234
201207,US,3337400
201607,US,3905150
201512,Central America,22256
201501,Central America,12112
201010,Canada,116583
201803,Middle East,39696
201108,Central America,12219
201803,Mexico,123165
201705,US,3561756
201009,Canada,126892
200906,Middle East,14407
200606,Canada,110595
201305,Australia / Oceania,32605
201902,Middle East,36806
201310,Australia / Oceania,35271
200906,Mexico,56089
200808,Mexico,61373
201902,Mexico,87101
200811,Mexico,48476
200703,Australia / Oceania,39774
201008,Canada,154554
201204,Mexico,72765
201109,Asia,317717
201603,Central America,18487
201809,US,3447522
201204,Middle East,17357
